Participant;Trial;Delay;Info;Candidate;Uni;Sub 1;Sub 2;Sub 3;Final Year;Clubs;AI recommendation;CorrectDecision;Feedback to AI
0;44;long;Transparent;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
0;45;long;Transparent;15;javephy;14.38;17.42;14.92;15.44;Bowling Club;Accept;Accept;Correct
1;1;long;Simple;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
1;2;long;Simple;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
1;3;long;Simple;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
1;4;long;Simple;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
1;5;long;Simple;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
1;6;long;Simple;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
1;7;long;Simple;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
1;8;long;Simple;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
1;9;long;Simple;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
1;10;long;Simple;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
1;11;long;Simple;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
1;12;long;Simple;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
1;13;long;Simple;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
1;14;long;Simple;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
1;15;long;Simple;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
1;16;long;Transparent;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
1;17;long;Transparent;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
1;18;long;Transparent;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
1;19;long;Transparent;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
1;20;long;Transparent;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
1;21;long;Transparent;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
1;22;long;Transparent;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
1;23;long;Transparent;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
1;24;long;Transparent;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
1;25;long;Transparent;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
1;26;long;Transparent;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
1;27;long;Transparent;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
1;28;long;Transparent;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
1;29;long;Transparent;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
1;30;long;Transparent;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
1;31;long;Entertaining;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
1;32;long;Entertaining;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
1;33;long;Entertaining;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
1;34;long;Entertaining;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
1;35;long;Entertaining;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
1;36;long;Entertaining;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
1;37;long;Entertaining;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
1;38;long;Entertaining;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
1;39;long;Entertaining;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
1;40;long;Entertaining;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
1;41;long;Entertaining;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
1;42;long;Entertaining;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
1;43;long;Entertaining;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
1;44;long;Entertaining;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
1;45;long;Entertaining;15;javephy;14.38;17.42;14.92;15.44;Bowling Club;Accept;Accept;Correct
2;1;long;Transparent;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
2;2;long;Transparent;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
2;3;long;Transparent;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
2;4;long;Transparent;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
2;5;long;Transparent;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
2;6;long;Transparent;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
2;7;long;Transparent;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
2;8;long;Transparent;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
2;9;long;Transparent;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
2;10;long;Transparent;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
2;11;long;Transparent;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
2;12;long;Transparent;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
2;13;long;Transparent;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
2;14;long;Transparent;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
2;15;long;Transparent;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
2;16;long;Entertaining;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
2;17;long;Entertaining;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
2;18;long;Entertaining;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
2;19;long;Entertaining;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
2;20;long;Entertaining;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
2;21;long;Entertaining;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
2;22;long;Entertaining;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
2;23;long;Entertaining;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
2;24;long;Entertaining;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
2;25;long;Entertaining;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
2;26;long;Entertaining;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
2;27;long;Entertaining;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
2;28;long;Entertaining;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
2;29;long;Entertaining;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
2;30;long;Entertaining;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
2;31;long;Simple;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
2;32;long;Simple;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
2;33;long;Simple;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
2;34;long;Simple;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
2;35;long;Simple;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
2;36;long;Simple;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
2;37;long;Simple;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
2;38;long;Simple;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
2;39;long;Simple;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
2;40;long;Simple;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
2;41;long;Simple;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
2;42;long;Simple;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
2;43;long;Simple;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
2;44;long;Simple;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
2;45;long;Simple;15;javephy;14.38;17.42;14.92;15.44;Bowling Club;Accept;Accept;Correct
3;1;long;Entertaining;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
3;2;long;Entertaining;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
3;3;long;Entertaining;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
3;4;long;Entertaining;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
3;5;long;Entertaining;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
3;6;long;Entertaining;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
3;7;long;Entertaining;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
3;8;long;Entertaining;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
3;9;long;Entertaining;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
3;10;long;Entertaining;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
3;11;long;Entertaining;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
3;12;long;Entertaining;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
3;13;long;Entertaining;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
3;14;long;Entertaining;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
3;15;long;Entertaining;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
3;16;long;Simple;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
3;17;long;Simple;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
3;18;long;Simple;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
3;19;long;Simple;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
3;20;long;Simple;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
3;21;long;Simple;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
3;22;long;Simple;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
3;23;long;Simple;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
3;24;long;Simple;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
3;25;long;Simple;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
3;26;long;Simple;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
3;27;long;Simple;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
3;28;long;Simple;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
3;29;long;Simple;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
3;30;long;Simple;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
3;31;long;Transparent;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
3;32;long;Transparent;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
3;33;long;Transparent;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
3;34;long;Transparent;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
3;35;long;Transparent;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
3;36;long;Transparent;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
3;37;long;Transparent;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
3;38;long;Transparent;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
3;39;long;Transparent;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
3;40;long;Transparent;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
3;41;long;Transparent;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
3;42;long;Transparent;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
3;43;long;Transparent;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
3;44;long;Transparent;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
3;45;long;Transparent;15;javephy;14.38;17.42;14.92;15.44;Bowling Club;Accept;Accept;Correct
4;1;long;Simple;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
4;2;long;Simple;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
4;3;long;Simple;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
4;4;long;Simple;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
4;5;long;Simple;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
4;6;long;Simple;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
4;7;long;Simple;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
4;8;long;Simple;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
4;9;long;Simple;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
4;10;long;Simple;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
4;11;long;Simple;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
4;12;long;Simple;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
4;13;long;Simple;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
4;14;long;Simple;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
4;15;long;Simple;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
4;16;long;Transparent;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
4;17;long;Transparent;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
4;18;long;Transparent;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
4;19;long;Transparent;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
4;20;long;Transparent;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
4;21;long;Transparent;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
4;22;long;Transparent;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
4;23;long;Transparent;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
4;24;long;Transparent;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
4;25;long;Transparent;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
4;26;long;Transparent;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
4;27;long;Transparent;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
4;28;long;Transparent;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
4;29;long;Transparent;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
4;30;long;Transparent;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
4;31;long;Entertaining;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
4;32;long;Entertaining;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
4;33;long;Entertaining;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
4;34;long;Entertaining;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
4;35;long;Entertaining;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
4;36;long;Entertaining;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
4;37;long;Entertaining;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
4;38;long;Entertaining;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
4;39;long;Entertaining;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
4;40;long;Entertaining;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
4;41;long;Entertaining;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
4;42;long;Entertaining;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
4;43;long;Entertaining;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
4;44;long;Entertaining;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
4;45;long;Entertaining;15;javephy;14.38;17.42;14.92;15.44;Bowling Club;Accept;Accept;Correct
5;1;long;Transparent;1;davebio;18.13;16.06;13.14;15.61;Science Club;Accept;Accept;Correct
5;2;long;Transparent;2;davebio;11.30;16.58;19.22;16.16;Bowling Club;Reject;Reject;Correct
5;3;long;Transparent;3;davebio;15.06;13.23;15.18;14.63;Science Club;Reject;Reject;Correct
5;4;long;Transparent;4;davebio;15.59;16.01;15.88;14.20;Board Games Club;Reject;Accept;Wrong
5;5;long;Transparent;5;davebio;11.86;17.39;14.59;14.26;Health Occupation Club;Reject;Reject;Correct
5;6;long;Transparent;6;davebio;12.00;18.13;16.88;14.77;Board Games Club;Reject;Reject;Correct
5;7;long;Transparent;7;davebio;16.45;16.61;15.71;15.56;None;Accept;Reject;Wrong
5;8;long;Transparent;8;davebio;15.08;13.44;13.71;14.57;Board Games Club;Reject;Reject;Correct
5;9;long;Transparent;9;davebio;12.90;16.95;14.00;15.54;Guitar Club;Reject;Reject;Correct
5;10;long;Transparent;10;davebio;18.02;12.99;12.09;14.10;Bowling Club;Accept;Reject;Wrong
5;11;long;Transparent;11;davebio;16.82;18.54;15.68;15.33;None;Accept;Accept;Correct
5;12;long;Transparent;12;davebio;12.83;12.75;15.78;14.73;Guitar Club;Reject;Reject;Correct
5;13;long;Transparent;13;davebio;15.78;15.93;13.88;14.45;Public Health Club;Accept;Accept;Correct
5;14;long;Transparent;14;davebio;14.93;15.35;16.35;15.73;None;Reject;Reject;Correct
5;15;long;Transparent;15;davebio;15.70;16.48;13.18;15.02;Guitar Club;Reject;Reject;Correct
5;16;long;Entertaining;1;mavechem;13.95;15.23;12.44;14.07;Bowling Club;Reject;Reject;Correct
5;17;long;Entertaining;2;mavechem;14.80;13.54;15.49;15.10;Science Club;Reject;Reject;Correct
5;18;long;Entertaining;3;mavechem;16.59;15.90;13.53;15.46;None;Reject;Reject;Correct
5;19;long;Entertaining;4;mavechem;13.81;16.80;15.77;15.27;Guitar Club;Accept;Accept;Correct
5;20;long;Entertaining;5;mavechem;13.12;15.87;13.47;15.51;Public Health Club;Reject;Reject;Correct
5;21;long;Entertaining;6;mavechem;13.39;15.79;16.61;14.76;Bowling Club;Reject;Accept;Wrong
5;22;long;Entertaining;7;mavechem;16.41;13.35;11.94;15.28;Public Health Club;Reject;Reject;Correct
5;23;long;Entertaining;8;mavechem;14.65;14.84;13.81;15.93;Guitar Club;Reject;Reject;Correct
5;24;long;Entertaining;9;mavechem;15.45;14.18;15.97;14.62;Board Games Club;Reject;Reject;Correct
5;25;long;Entertaining;10;mavechem;17.95;15.37;14.03;15.46;Health Occupation Club;Reject;Accept;Wrong
5;26;long;Entertaining;11;mavechem;14.42;15.89;17.04;15.41;None;Reject;Reject;Correct
5;27;long;Entertaining;12;mavechem;16.63;13.10;12.48;14.57;Bowling Club;Reject;Reject;Correct
5;28;long;Entertaining;13;mavechem;15.58;16.28;16.26;15.75;None;Accept;Reject;Wrong
5;29;long;Entertaining;14;mavechem;16.55;16.21;13.44;14.50;Science Club;Accept;Accept;Correct
5;30;long;Entertaining;15;mavechem;17.41;18.55;14.14;16.99;None;Accept;Accept;Correct
5;31;long;Simple;1;javephy;13.01;14.79;14.33;14.75;Public Health Club;Reject;Reject;Correct
5;32;long;Simple;2;javephy;15.19;15.41;13.83;14.87;Bowling Club;Reject;Reject;Correct
5;33;long;Simple;3;javephy;15.27;14.64;17.12;16.26;Science Club;Reject;Accept;Wrong
5;34;long;Simple;4;javephy;17.74;15.00;15.33;14.78;None;Reject;Reject;Correct
5;35;long;Simple;5;javephy;13.03;18.49;14.72;15.75;None;Accept;Reject;Wrong
5;36;long;Simple;6;javephy;11.16;15.42;14.55;14.40;Guitar Club;Reject;Reject;Correct
5;37;long;Simple;7;javephy;14.19;19.17;13.85;15.92;None;Accept;Accept;Correct
5;38;long;Simple;8;javephy;14.19;15.63;12.98;14.36;Health Occupation Club;Reject;Reject;Correct
5;39;long;Simple;9;javephy;14.59;17.14;15.14;16.10;Bowling Club;Accept;Accept;Correct
5;40;long;Simple;10;javephy;13.86;16.02;13.97;14.87;Guitar Club;Reject;Reject;Correct
5;41;long;Simple;11;javephy;15.24;17.12;14.27;14.77;Public Health Club;Accept;Accept;Correct
5;42;long;Simple;12;javephy;18.69;15.44;12.50;14.97;Board Games Club;Reject;Accept;Wrong
5;43;long;Simple;13;javephy;14.90;12.16;14.35;14.58;Health Occupation Club;Reject;Reject;Correct
5;44;long;Simple;14;javephy;15.33;13.31;17.28;14.24;Guitar Club;Reject;Reject;Correct
